id,spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
71,i_eat_short_people_for_breakfast,Michelle Obama,30871,30894,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,46263,46307,red
72,i_eat_short_people_for_breakfast,Michelle Obama,32862,32935,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,49996,50051,red
73,i_eat_short_people_for_breakfast,Michelle Obama,35741,35779,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,55394,55466,red
74,i_eat_short_people_for_breakfast,Michelle Obama,35810,35847,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,55523,55593,red
75,i_eat_short_people_for_breakfast,Michelle Obama,35870,35877,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,55636,55650,red
50,i_eat_short_people_for_breakfast,Martin,35999,36013,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1,55878,55906,redBlue
18,i_eat_short_people_for_breakfast,Chris,36000,36044,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1,55879,55963,blue
19,i_eat_short_people_for_breakfast,Chris,36084,36089,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1,56038,56046,blue
34,i_eat_short_people_for_breakfast,Gary,36316,36333,16,14,9_19_21_durst_t_wang_ct_with_walls.dem,1,56472,56504,green
76,i_eat_short_people_for_breakfast,Michelle Obama,37612,37637,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1,58903,58951,red
20,i_eat_short_people_for_breakfast,Chris,37703,37715,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1,59074,59096,blue
21,i_eat_short_people_for_breakfast,Chris,37723,37756,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1,59112,59173,blue
35,i_eat_short_people_for_breakfast,Gary,37732,37885,16,14,9_19_21_durst_t_wang_ct_with_walls.dem,1,59127,59415,green
51,i_eat_short_people_for_breakfast,Martin,37883,38014,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1,59411,59656,redBlue
