id,spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
20,Pinkay,i_eat_short_people_for_breakfast,33136,33185,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,50238,50331,red
45,Pinkay,meeseeks,33150,33185,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,50265,50331,green
46,Pinkay,meeseeks,36142,36198,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,55875,55931,green
47,Pinkay,meeseeks,36269,36285,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,56113,56143,green
48,Pinkay,meeseeks,38286,38300,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,59896,59922,green
21,Pinkay,i_eat_short_people_for_breakfast,38553,38560,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,60397,60408,red
22,Pinkay,i_eat_short_people_for_breakfast,38568,38637,33,24,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,60423,60553,red
49,Pinkay,meeseeks,40923,40956,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,64839,64901,green
50,Pinkay,meeseeks,43807,43868,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70246,70361,green
51,Pinkay,meeseeks,43884,43897,33,30,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70391,70416,green
