id,spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
61,meeseeks,Pinkay,36270,36286,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,56122,56153,blue
70,meeseeks,Tom,36470,36508,30,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,56498,56569,redBlue
34,meeseeks,Malia Obama,37351,37374,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,58150,58194,red
19,meeseeks,Kcirrem,39623,39649,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,62410,62458,green
62,meeseeks,Pinkay,40619,40661,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,64278,64357,blue
63,meeseeks,Pinkay,40872,40939,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,64752,64878,blue
64,meeseeks,Pinkay,40943,40956,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,64885,64910,blue
35,meeseeks,Malia Obama,41122,41170,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,65220,65274,red
36,meeseeks,Malia Obama,41177,41183,30,31,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,65323,65335,red
65,meeseeks,Pinkay,43808,43860,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70258,70353,blue
71,meeseeks,Tom,43808,43843,30,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70258,70323,redBlue
72,meeseeks,Tom,43856,43862,30,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70346,70358,redBlue
66,meeseeks,Pinkay,43866,43870,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70365,70373,blue
73,meeseeks,Tom,43868,43897,30,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70369,70376,redBlue
67,meeseeks,Pinkay,43882,43903,30,33,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70396,70434,blue
20,meeseeks,Kcirrem,44128,44142,30,29,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70857,70883,green
74,meeseeks,Tom,44138,44142,30,34,merrick_kingston_matt_gabe_rory_durst_9_20_21_no_hacks.dem,0,70876,70883,redBlue
