54,i_eat_short_people_for_breakfast,Gary,11904,12028,16,14,9_19_21_durst_t_wang_ct_with_walls.dem,1
55,i_eat_short_people_for_breakfast,Martin,11926,11932,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1
56,i_eat_short_people_for_breakfast,Gary,12094,12160,16,14,9_19_21_durst_t_wang_ct_with_walls.dem,1
57,i_eat_short_people_for_breakfast,Gary,12296,12350,16,14,9_19_21_durst_t_wang_ct_with_walls.dem,1
58,i_eat_short_people_for_breakfast,Michelle Obama,13368,13444,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1
59,i_eat_short_people_for_breakfast,Chris,13422,13430,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1
60,i_eat_short_people_for_breakfast,Michelle Obama,13568,13620,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1
61,i_eat_short_people_for_breakfast,Martin,13578,13608,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1
62,i_eat_short_people_for_breakfast,Chris,13582,13608,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1
63,i_eat_short_people_for_breakfast,Martin,13914,14094,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1
64,i_eat_short_people_for_breakfast,Michelle Obama,13916,14066,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1
65,i_eat_short_people_for_breakfast,Chris,13918,13929,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1
66,i_eat_short_people_for_breakfast,Chris,13936,14090,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1
67,i_eat_short_people_for_breakfast,Martin,14096,14100,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1
68,i_eat_short_people_for_breakfast,Chris,14294,14312,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1
69,i_eat_short_people_for_breakfast,Chris,14334,14338,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1
70,i_eat_short_people_for_breakfast,Chris,14354,14368,16,18,9_19_21_durst_t_wang_ct_with_walls.dem,1
71,i_eat_short_people_for_breakfast,Martin,14454,14574,16,20,9_19_21_durst_t_wang_ct_with_walls.dem,1
72,i_eat_short_people_for_breakfast,Michelle Obama,15458,15500,16,21,9_19_21_durst_t_wang_ct_with_walls.dem,1
